"","unique_staying_id","subject_id","latitude","longitude","study_id","location_id","staying_time_start","staying_time_end","staying_day_of_week","staying_time_of_day","staying_count_surveyor","staying_conditions","staying_microclimate","staying_temperature","staying_row_total","staying_group_size","staying_race_ethnicity","staying_gender","staying_age","standing","leaning","sitting_formal_all","sitting_formal_public","sitting_formal_public_fixed_bench","sitting_formal_public_fixed_wall_with_seats","sitting_formal_public_movable_seat","sitting_formal_commercial","sitting_formal_private","sitting_informal","lying","staying_mobility_assist","commercial_all","commercial_selling","commercial_selling_informal","commercial_buying","commercial_observing","eating_drinking","talking_to_others","smoking","cultural","recreation_active","recreation_active_play","recreation_passive_reading_writing","recreation_passive","waiting_transportation","waiting_non_public_transportation","working_civic","disruptive","disruptive_aggressive","disruptive_intoxicated","living_public","using_electronics","soliciting","staying_covid_mask","staying_covid_social_distance","taking_care_child","feeding_child","chance_encounter","other","staying_notes","location_neighborhood","S_HOOD"
"1",1,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","L","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"2",2,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","L","Female","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"3",3,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"3","U","Other_Unsure","0-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"4",4,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"1","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"5",5,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"2","W","Male","25-44",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"6",6,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 08:20:00 AM","08/02/2018 08:40:00 AM","Weekday","Morning","UD4H","","Heavy Clouds",58,1,"2","W","Other_Unsure","0-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"7",7,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"8",8,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"1","W","Female","65+",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"9",9,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","L","Male","45-64",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
"10",10,"",NA,NA,"2018_Seattle_Citywide","MAP1","08/02/2018 12:20:00 PM","08/02/2018 12:40:00 PM","Weekday","Midday","UD4H","","Heavy Clouds",60,1,"2","W","Male","25-44",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Madison Park","Madison Park"
