location_id,location_name_primary,location_name_secondary,location_detail,location_blockface_elmntkey,location_sidewalk_compkey,location_transit_stop_present,location_neighborhood_type,location_neighborhood,location_character,location_line_typology_vehicular,location_area_typology,location_area_typology_subcategory,location_total_sqft,location_average_number_commercial_seats,location_average_number_public_seats,location_country,location_region,location_city,location_notes
ALK1,ALKI AVE SW,BETWEEN MARINE AVE SW AND 59TH AVE SW,SE,76698,318968,Bus,Outside,Alki,Commercial,Neighborhood Corridor,Street,Block face,2480,0,6,United States of America,Washington,Seattle,
ALK2,ALKI AVE SW,BETWEEN 57TH AVE SW AND 58TH AVE SW,SE,8914,318972,None,Outside,Alki,Commercial,Neighborhood Corridor,Street,Block face,1428,23,0,United States of America,Washington,Seattle,
BAL1,NW MARKET ST,BETWEEN 22ND AVE NW AND BALLARD AVE NW,N,41721,302850,Bus,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood,Street,Block face,6862,9,5,United States of America,Washington,Seattle,
BAL2,NW MARKET ST,BETWEEN  BALLARD AVE NW AND 24TH AVE NW,N,64321,‎302848,Bus,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood,Street,Block face,5055,50,10,United States of America,Washington,Seattle,
BAL3,BALLARD AVE NW,BETWEEN NW VERNON PL AND 20TH AVE NW,SW,76961,‎292330,None,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood Access,Street,Block face,2903.35,12,8,United States of America,Washington,Seattle,
BAL4,BALLARD AVE NW,BETWEEN NW MARKET ST AND 22ND AVE NW,NE,31854,‎292327,None,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood Access,Street,Block face,6391.49,0,4,United States of America,Washington,Seattle,
BAL5,BALLARD AVE NW,BETWEEN NW VERNON PL AND 20TH AVE NW,Entire right of way,,,None,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood Access,Street,Block,19277,,,United States of America,Washington,Seattle,
BAL6,BALLARD AVE NW,BETWEEN NW VERNON PL AND 22ND AVE,Entire right of way,,,None,Hub Urban Village,Ballard,Commercial,Urban Village Neighborhood Access,Street,Block,35008,,,United States of America,Washington,Seattle,
BEA1,S LANDER ST,BETWEEN 16TH AVE S AND 17TH AVE S,N,43105,‎330097,None,Residential Urban Village,North Beacon Hill,Mixed,Urban Village Neighborhood Access,Street,Block face,7302.33,8,6,United States of America,Washington,Seattle,
BEA2,BEACON AVE S,BETWEEN S LANDER ST AND S MCCLELLAN ST,NE,31937,‎313800,Multiple,Residential Urban Village,North Beacon Hill,Infrastructural,Urban Village Neighborhood,Street,Block face,5869.55,0,4,United States of America,Washington,Seattle,"Includes elmntkey 31941, compkey 313798"
BLT1,3RD AVE,BETWEEN VIRGINIA ST AND LENORA ST,NE,4434,‎290877,Multiple,Urban Center Village,Belltown,Mixed,Downtown Neighborhood,Street,Block face,6441.74,0,6,United States of America,Washington,Seattle,
BLT2,BELL ST,BETWEEN 2ND AVE AND 3RD AVE,NW,77117,292382,None,Urban Center Village,Belltown,Mixed,Downtown Neighborhood Access,Street,Block face,8992.24,21,18,United States of America,Washington,Seattle,
BLT3,2ND AVE,BETWEEN BATTERY ST AND WALL ST,NE,70754,289343,None,Urban Center Village,Belltown,Mixed,Downtown,Street,Block face,5469,0,0,United States of America,Washington,Seattle,
BLT4,4TH AVE,BETWEEN VIRGINIA ST AND LENORA ST,E,74026,‎291122,None,Urban Center Village,Belltown,Commercial,Downtown,Street,Block face,5778.74,29,0,United States of America,Washington,Seattle,
BLT5,MCGRAW SQUARE,SOUTH SCREENLINE,,,,Streetcar,Urban Center Village,Belltown,Commercial,Downtown,Plaza,,,,,United States of America,Washington,Seattle,
BLT6,MCGRAW SQUARE,NORTH SCREENLINE,,,,Streetcar,Urban Center Village,Belltown,Commercial,Downtown,Plaza,,,,,United States of America,Washington,Seattle,
BLT7,WESTLAKE AVE,BETWEEN OLIVE WAY AND STEWART ST,E,13525,666725,Streetcar,Urban Center Village,Belltown,Commercial,Downtown,Sidewalk,Block face,,,,United States of America,Washington,Seattle,
BLT8,MCGRAW SQUARE,,,,,Streetcar,Urban Center Village,Belltown,Commercial,Downtown,Plaza,,15010,,,United States of America,Washington,Seattle,
BLV1,LINDEN AVE N,BETWEEN N 130TH ST AND N 135TH ST,E (from 130th north to 1st mid block crosswalk),34082,‎328458,None,Hub Urban Village,Bitter Lake Village,Mixed,Urban Village Neighborhood,Street,Block face,7820.46,0,0,United States of America,Washington,Seattle,
BLV2,LINDEN AVE N,BETWEEN N 130TH ST AND N 135TH ST,E (from 135th south to signalized crosswalk),34082,‎668263,None,Hub Urban Village,Bitter Lake Village,Mixed,Urban Village Neighborhood,Street,Block face,2597.07,0,0,United States of America,Washington,Seattle,
BRY1,NE 65TH ST,BETWEEN 32ND E AVE NE AND 34TH AVE NE,N,62493,‎305746,None,Outside,Bryant,Mixed,Urban Center Connector,Street,Block face,3450.98,12,7,United States of America,Washington,Seattle,"Includes elmntkey 66528, compkey 305744"
BRY2,NE 65TH ST,BETWEEN 31ST AVE NE AND 32ND E AVE NE,N,39845,‎305741,Bus,Outside,Bryant,Mixed,Urban Center Connector,Street,Block face,1802.02,0,25,United States of America,Washington,Seattle,
CAP1,BROADWAY,BETWEEN HARRISON ST AND REPUBLICAN ST,W,32265,‎309800,Bus,Urban Center Village,Capitol Hill,Commercial,Urban Village Neighborhood,Street,Block face,7055.13,0,2,United States of America,Washington,Seattle,
CAP2,15TH AVE,BETWEEN HARRISON ST AND REPUBLICAN ST,W,69929,‎312927,Bus,Urban Center Village,Capitol Hill,Commercial,Urban Village Neighborhood,Street,Block face,3195.08,15,9,United States of America,Washington,Seattle,
CAP3,E JOHN ST,BETWEEN BROADWAY AND 10TH AVE E,S,59594,‎308556,Multiple,Urban Center Village,Capitol Hill,Infrastructural,Urban Village Neighborhood,Street,Block face,3691.96,0,2,United States of America,Washington,Seattle,
CAP4,E  OLIVE WAY,BETWEEN E HOWELL ST AND DENNY WAY,NW,82477,‎310373,None,Urban Center Village,Capitol Hill,Commercial,Urban Village Main,Street,Block face,3771.92,21,4,United States of America,Washington,Seattle,
CID1,S JACKSON ST,BETWEEN 5TH AVE AND 6TH AVE,S,88542,‎332738,Streetcar,Urban Center Village,Chinatown / ID,Commercial,Downtown,Street,Block face,4713.43,0,0,United States of America,Washington,Seattle,
CID2,MAYNARD AVE S,BETWEEN S KING ST AND S WELLER ST,E,79678,‎294162,None,Urban Center Village,Chinatown / ID,Commercial,Downtown Neighborhood Access,Street,Block face,3766.28,0,4,United States of America,Washington,Seattle,
CID3,S KING ST,BETWEEN 5TH AVE AND 6TH AVE,N,43057,‎332755,None,Urban Center Village,Chinatown / ID,Commercial,Downtown Neighborhood Access,Street,Block face,2026.16,0,2,United States of America,Washington,Seattle,
CID4,S JACKSON ST,BETWEEN 12TH AVE S AND 14TH AVE S,S,65554,‎300641,Multiple,Urban Center Village,Chinatown / ID,Commercial,Downtown,Street,Block face,7175.58,0,4,United States of America,Washington,Seattle,
